Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yan Gomes,35,86,312,286,36,78,15,2,9,45,1,0,15,64,0.273,0.314,0.434,0.748,98,124,7,5,0,6,1
2,1B,Trey Mancini,31,79,263,235,31,55,12,0,4,28,0,0,21,78,0.234,0.299,0.336,0.635,70,79,5,2,0,3,1
3,2B,Nico Hoerner,26,117,539,491,74,136,22,4,9,61,33,5,36,72,0.277,0.336,0.393,0.729,95,193,10,9,0,3,0
4,SS,Dansby Swanson,29,112,484,428,60,107,19,2,19,64,5,1,52,119,0.25,0.335,0.437,0.772,105,187,6,3,0,1,0
5,3B,Patrick Wisdom,31,80,265,233,39,46,7,1,20,40,4,2,28,102,0.197,0.288,0.494,0.781,104,115,4,2,1,1,0
6,LF,Ian Happ#,28,123,534,445,65,106,23,4,14,58,11,2,81,124,0.238,0.358,0.402,0.76,104,179,9,4,0,4,2
7,CF,Cody Bellinger*,27,95,400,359,72,115,21,1,20,67,17,3,29,62,0.32,0.368,0.552,0.919,142,198,3,3,0,9,2
8,RF,Seiya Suzuki,28,103,431,380,52,100,18,3,13,44,5,6,43,103,0.263,0.336,0.429,0.765,104,163,7,2,0,6,1
9,DH,Christopher Morel,24,82,330,297,50,74,13,1,19,60,4,2,28,109,0.249,0.316,0.492,0.808,112,146,6,2,1,2,0
10,CF,Mike Tauchman*,32,75,287,243,46,65,13,0,7,42,5,1,38,58,0.267,0.367,0.407,0.775,108,99,2,2,1,3,0
11,3B,Nick Madrigal,26,70,224,202,29,56,12,1,2,23,9,2,9,19,0.277,0.333,0.376,0.71,90,76,3,8,5,0,0
12,C,Tucker Barnhart*,32,44,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,47,28,4,1,0,1,0
13,C,Miguel Amaya,24,39,121,99,14,24,4,0,4,17,0,0,9,29,0.242,0.367,0.404,0.771,107,40,2,11,1,1,0
14,3B,Miles Mastrobuoni*,27,44,114,100,15,21,3,0,1,4,10,0,12,26,0.21,0.295,0.27,0.565,53,27,1,0,2,0,0
15,DH,Eric Hosmer*,33,31,100,94,7,22,3,0,2,14,0,0,6,25,0.234,0.28,0.33,0.61,63,31,5,0,0,0,0
16,1B,Matt Mervis* (40-man),25,27,99,90,8,15,2,0,3,11,0,0,8,32,0.167,0.242,0.289,0.531,42,26,1,1,0,0,0
17,CI,Jeimer Candelario#,29,19,75,66,13,23,7,1,2,7,2,0,9,17,0.348,0.427,0.576,1.002,166,38,0,0,0,0,0
18,1B,Jared Young* (40-man),27,13,39,35,7,6,0,2,1,5,2,0,3,11,0.171,0.256,0.371,0.628,66,13,1,1,0,0,0
19,DH,Edwin Rios*,29,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.45,22,6,0,1,0,0,0
20,OF,Nelson Velázquez,24,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,142,18,1,0,0,0,0
21,DH,Luis Torrens,27,13,22,20,1,5,1,0,0,3,0,0,1,8,0.25,0.318,0.3,0.618,68,6,0,1,0,0,0
22,P,Michael Fulmer,30,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
23,P,Jeremiah Estrada# (40-man),24,0,0,,,,,,,,,,,,,,,,,,,,,,
24,P,Jameson Taillon,31,0,0,,,,,,,,,,,,,,,,,,,,,,
25,P,Justin Steele*,27,0,0,,,,,,,,,,,,,,,,,,,,,,
26,P,Keegan Thompson (40-man),28,0,0,,,,,,,,,,,,,,,,,,,,,,
27,P,Drew Smyly*,34,0,0,,,,,,,,,,,,,,,,,,,,,,
28,P,Javier Assad,25,0,0,,,,,,,,,,,,,,,,,,,,,,
29,P,Kyle Hendricks,33,0,0,,,,,,,,,,,,,,,,,,,,,,
30,P,Hayden Wesneski,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Brad Boxberger (60-day IL),35,0,0,,,,,,,,,,,,,,,,,,,,,,
32,P,Brandon Hughes# (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,
33,P,Adbert Alzolay,28,0,0,,,,,,,,,,,,,,,,,,,,,,
34,P,Daniel Palencia,23,0,0,,,,,,,,,,,,,,,,,,,,,,
35,P,Marcus Stroman (15-day IL),32,0,0,,,,,,,,,,,,,,,,,,,,,,
36,P,Jose Cuas,29,0,0,,,,,,,,,,,,,,,,,,,,,,
37,P,Julian Merryweather,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Anthony Kay* (40-man),28,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Caleb Kilian (40-man),26,0,0,,,,,,,,,,,,,,,,,,,,,,
40,P,Nick Burdi (60-day IL),30,0,0,,,,,,,,,,,,,,,,,,,,,,
41,P,Mark Leiter Jr.,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Michael Rucker,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
